"Name";"Photo";"AdmArea";"District";"Location";"RegistrationNumber";"State";"LocationType";"global_id";"geodata_center";"geoarea";
"Название объекта";"Фотография";"Административный округ по адресу";"Район";"Месторасположение";"Государственный регистрационный знак";"Состояние регистрации";"Тип места расположения";"global_id";"geodata_center";"geoarea";
"ГОРКА ВОДНАЯ КАМИКАДЗЕ";"c3d13a83-8768-48f6-a48d-6eb2e282934e";"Юго-Восточный административный округ";"район Марьино";"АКВАПАРК ФЭНТАЗИ";"2423-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2387014189";"";"";
"КАРТОДРОМ BLACKSTARKARTING";"9ec8cb12-1852-4ba8-a2dd-e17b0243819a";"Южный административный округ";"Даниловский район";"ТРЦ «РИВЬЕРА»";"2425-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2389451290";"";"";
"ПОДВОДНЫЙ МИР - 8";"eab45c9b-382f-4b7f-96d1-566a1a740f0e";"Троицкий административный округ";"поселение Троицк";"ТЦ АКАДЕМИЧЕСКИЙ";"2388-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2389677626";"";"";
"ES V5.00.0000.00 EXO-JET 5.0";"a5ecd7c2-6594-4ec7-8225-eed5ac87459a";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"2417-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2389720290";"";"";
"АТТРАКЦИОН «КАРТИНГ КЛУБ DIXXODROM»";"3153d9f3-578e-4105-8000-fcd31a2d20a3";"Восточный административный округ";"район Измайлово";"КАРТИНГ КЛУБ DIXXODROM";"2429-77";"регистрация аттракциона приостановлена";"торгово-развлекательный комплекс";"2392701310";"";"";
"ВИРТУАЛЬНЫЙ СИМУЛЯТОР F-3";"d820d39f-b8a3-4c95-aed1-8d5d1f85a5d1";"Юго-Восточный административный округ";"район Лефортово";"ТРЦ «ГОРОД»";"2436-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2426355818";"";"";
"КОЛЕСО ОБОЗРЕНИЯ - МОДЕЛЬ ПК 522.02";"cc92a420-5fa7-4026-80eb-a8b16f64e3ac";"Восточный административный округ";"район Измайлово";"КУЛЬТУРНО-РАЗВЛЕКАТЕЛЬНЫЙ КОМПЛЕКС КРЕМЛЬ В ИЗМАЙЛОВО";"2440-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2507495833";"";"";
"КАРТИНГ ЦТВС МОСКВА";"c5aa961b-3edc-47cc-b1c1-fbdbf807ee19";"Юго-Восточный административный округ";"район Печатники";"ЦЕНТР ТЕХНИЧЕСКИХ ВИДОВ СПОРТА МОСКВА";"2444-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2507690399";"";"";
"НАДУВНАЯ ГОРКА (6Х6,5Х4/2М)";"9aa9e907-bf74-4fda-adab-769e38d79228";"Новомосковский административный округ";"поселение Московский";"ТРК «НОВОМОСКОВСКИЙ»";"2445-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2509546347";"";"";
"СКОРОСТНАЯ ДОРОГА С МИНИ-АВТОМОБИЛЯМИ МОДЕЛЕЙ SODI RT8, SODI LR5, 2Х МЕСТНЫЙ ДУЭТ, DINO RENTAL, МИКС КАРТ СПОРТ";"809f7bbb-5f39-4a12-8a86-2c8016ad4448";"Юго-Восточный административный округ";"Южнопортовый район";"MIKS KARTING";"2449-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2578088510";"";"";
"5D КИНОТЕАТР";"8ebe283d-2f21-4adc-bc0c-5a336793dce5";"Южный административный округ";"район Чертаново Южное";"ТЦ ПРАГА";"2450-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2580847287";"";"";
"АТТРАКЦИОН МОРСКАЯ РАКУШКА/SEASHELL SLIDE, MT-SXS0033";"745924b4-c607-43b1-841f-52adf47b3ca0";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"2484-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2591918626";"";"";
"АТТРАКЦИОН СЛОН / ELEPHANT SLIDE, MT-SXS0040";"912faeb5-ad6d-44ce-90fc-36ed489f97b8";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"2485-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2591918627";"";"";
"АТТРАКЦИОН МОРЕПЛАВАТЕЛИ/SAILING SERIES. MT-SL-0069";"f021b678-ddac-4334-8854-f6f699d90f5a";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"2487-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2591918629";"";"";
"ВОДНАЯ ИГРОВАЯ ПЛОЩАДКА/WATER PLAYHOUSE. MSW401";"9e218434-14a0-448c-a541-caf27e15b2e1";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"2486-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2591918630";"";"";
"ИНТЕРАКТИВНЫЙ СИМУЛЯТОР КОСМИЧЕСКОГО КОРАБЛЯ ИРМ-Т1/S";"c2cff552-3013-4300-a52f-20a61fd3660a";"Северо-Восточный административный округ";"Останкинский район";"МУЗЕЙ КОСМОНАВТИКИ";"2488-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2592276885";"";"";
"ВОДНАЯ ГОРКА ДЕТСКАЯ";"387c18a4-e0e8-4bad-aedc-658f71269e12";"Восточный административный округ";"район Перово";"АКВАПАРК КАРИБИЯ";"2493-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2601933966";"";"";
"КАРТИНГ «LIBERTY KARTING»";"a0db33ae-ea9b-40e2-8695-89d63a841dce";"Новомосковский административный округ";"поселение Московский";"ТРЦ САЛАРИС";"2503-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2606660342";"";"";
"МИНИ-ПОЕЗД";"93e7d258-7e8c-4a4d-bb72-b30021d2ce79";"Северо-Западный административный округ";"район Строгино";"ОК РУБЛЕВО АХУ ОАО РЖД";"2505-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2608034397";"";"";
"МИНИ-ДЖЕТ";"db74c533-efd6-4866-8f31-3a52fe82ecca";"Северо-Западный административный округ";"район Строгино";"ОК РУБЛЕВО АХУ ОАО РЖД";"2504-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2608034402";"";"";
"БАТУТ НАДУВНОЙ БС-179";"8e9336a7-e181-4b52-a6da-7d65633bfcf0";"Северо-Западный административный округ";"район Строгино";"ОК РУБЛЕВО АХУ ОАО РЖД";"2506-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2608034406";"";"";
