"Name";"Photo";"AdmArea";"District";"Location";"RegistrationNumber";"State";"LocationType";"global_id";"geodata_center";"geoarea";
"Название объекта";"Фотография";"Административный округ по адресу";"Район";"Месторасположение";"Государственный регистрационный знак";"Состояние регистрации";"Тип места расположения";"global_id";"geodata_center";"geoarea";
"MOVIE BASE XS («ЛЕТАЮЩИЙ ТЕАТР»)";"594028bf-b8c0-429c-8e7d-30c82f09355f";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"2319-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386835269";"";"";
"СПЕЙС РИФТ 2Х";"4f4b1fb8-0564-4568-acab-9b690646cda0";"Южный административный округ";"район Нагатино-Садовники";"ТРЦ «НОРА»";"2324-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386835270";"";"";
"«ЛЕТНАЯ ШКОЛА» («SKY FLY»)";"452f14a1-13fe-4f38-910d-b52990527ab1";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"0285-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886271";"";"";
"«МОЛОТ СУДЬБЫ» («MAXI DANCE PARTY 32»)";"37ce31bb-7f62-4b3b-9d45-a26cfe4477fa";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"0287-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886273";"";"";
"«ПОЮЩАЯ КАРУСЕЛЬ» («CIRCUS SWING»)";"27c0fd3a-e422-4d09-b71c-ad28c5354026";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"0288-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886276";"";"";
"MAGIC BIKES 8";"2796a92f-ecef-4b0e-ba33-1ea3ceda7255";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"0294-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886278";"";"";
"NEBULAZ";"a2dd0f0e-01ba-4132-bba6-12d2394de877";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"2332-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886291";"";"";
"ДИНАМИЧЕСКАЯ ПЛАТФОРМА EP 4VR ST";"9c2a9b4e-7596-4f7d-a4da-d86d57c821e6";"Юго-Восточный административный округ";"район Марьино";"ТРК «MARI»";"2333-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886293";"";"";
"КАРУСЕЛЬ";"7a7ae3de-2a9f-401f-a6b1-58e9a40dcfa6";"Центральный административный округ";"Тверской район";"ГОСТИНЫЙ ДВОР";"2334-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886296";"";"";
"KITE FLYER 12";"47ceb856-1b88-4570-b60c-8b17a6334b20";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"2336-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886299";"";"";
"JUMP AROUND 6";"6f2300cb-3d42-44b5-8a5b-1593ff035e86";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"2337-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886303";"";"";
"JUMPIN STAR";"a99da2cc-76ee-4c34-bab3-ec531cca5fb1";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"2338-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886306";"";"";
"SUPER HAPPY SWING";"7c6951b5-2c6d-48bf-aed2-46216865a074";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"2339-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886309";"";"";
"ЗИМНЯЯ ГОРКА KIDWILL";"da8600d6-3e49-4783-98cf-60edc78b8058";"Центральный административный округ";"Басманный район";"ТЕРРИТОРИЯ ЦЕНТРА СОВРЕМЕННОГО ИСКУССТВА ВИНЗАВОД";"2340-77";"регистрация аттракциона приостановлена";"торгово-развлекательный комплекс";"2386886312";"";"";
"AIR FORCE";"103c47df-017f-404f-9f75-1a6951dbd0e3";"Южный административный округ";"район Чертаново Северное";"ТРЦ «ГЛОБАЛ СИТИ»";"0249-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886315";"";"";
"FX SIMULATION X2";"bd5f4bcd-362e-4ac3-a4ae-f96d56007584";"Южный административный округ";"район Чертаново Северное";"ТРЦ «ГЛОБАЛ СИТИ»";"0262-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886319";"";"";
"DROP TOWER 25MT";"55eafdc6-9b6e-4a51-a6fc-d90da9666260";"Южный административный округ";"район Чертаново Северное";"ТРЦ «ГЛОБАЛ СИТИ»";"0256-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886321";"";"";
"СТЕРЕОЗАЛ «STAR TECHNOLOGY»";"d0af8fa9-cfeb-48a3-b631-12fc21000f38";"Новомосковский административный округ";"поселение Московский";"ТРК «НОВОМОСКОВСКИЙ»";"2210-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886324";"";"";
"ВОДНАЯ ГОРКА BODY SLIDE";"839f66b0-e740-4024-8fea-f48e618dcb40";"Центральный административный округ";"Тверской район";"АКВАПАРК КАРИБИЯ";"2347-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886327";"";"";
"ВОДНАЯ ГОРКА BLACK HOLE";"7ffb458b-8999-4488-9962-82173242ddde";"Центральный административный округ";"Тверской район";"АКВАПАРК КАРИБИЯ";"2348-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886330";"";"";
"INNER TUBE ENCLOSED SLIDE GAT";"0f4138f0-052c-488a-a20c-6f32f8b4b11f";"Юго-Западный административный округ";"район Ясенево";"АКВАПАРК МОРИОН";"2351-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886333";"";"";
"SLIDE SPACE BOWL AT";"b206c917-ba30-4429-bcbb-14d71d7630c4";"Юго-Западный административный округ";"район Ясенево";"АКВАПАРК МОРИОН";"2352-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886337";"";"";
"BLACK HOLE ENCLOSED SLIDE GAT";"9683e16a-2367-4092-93c9-b365e7186980";"Юго-Западный административный округ";"район Ясенево";"АКВАПАРК МОРИОН";"2353-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886340";"";"";
"«ВОДНАЯ ТРУБА (AQUATUBE SLIDE) AB»";"843239df-68f9-4353-97a5-f775b7f43ac1";"Центральный административный округ";"район Хамовники";"АКВАКОМПЛЕКС ЛУЖНИКИ";"2354-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886344";"";"";
"«АКВАСФЕРА (AQUASPHERE) AD»";"ed4102d8-3426-484c-9176-c1394adade58";"Центральный административный округ";"район Хамовники";"АКВАКОМПЛЕКС ЛУЖНИКИ";"2355-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386975240";"";"";
"«ПУЛСАЙДЕР (POOLSIDER) AE»";"24892a6b-2bf3-455d-a5fb-e88315d23a6b";"Центральный административный округ";"район Хамовники";"АКВАКОМПЛЕКС ЛУЖНИКИ";"2356-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386975241";"";"";
"«ВОДНАЯ ТРУБА (AQUATUBE SLIDE) AG»";"2e0d6748-d357-445e-ae7f-003d8ca4d215";"Центральный административный округ";"район Хамовники";"АКВАКОМПЛЕКС ЛУЖНИКИ";"2357-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386975242";"";"";
"«ВОДНАЯ ТРУБА (AQUATUBE SLIDE) AJ»";"b45a1f6f-0059-471e-86ab-b3c3f3ec900a";"Центральный административный округ";"район Хамовники";"АКВАКОМПЛЕКС ЛУЖНИКИ";"2358-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386975243";"";"";
"«АКВАТРУБА РА»";"497eebe7-a0c2-408a-9836-6fbe07453081";"Центральный административный округ";"район Хамовники";"АКВАКОМПЛЕКС ЛУЖНИКИ";"2359-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386975244";"";"";
"«МИНИ МУЛЬТИ РB»";"ed75a51b-df17-4ca6-9405-483233acf27c";"Центральный административный округ";"район Хамовники";"АКВАКОМПЛЕКС ЛУЖНИКИ";"2360-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386975245";"";"";
"«МЕРТВАЯ ПЕТЛЯ (AQUALOOP) AI»";"13366941-4dc9-447f-9fbe-36226ec73967";"Центральный административный округ";"район Хамовники";"АКВАКОМПЛЕКС ЛУЖНИКИ";"2361-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386975246";"";"";
"«СЛАЙДБОУРДИНГ (SLIDEBOARDING) АС»";"eb689236-21eb-45c4-8e3d-ffee88d6a2e3";"Центральный административный округ";"район Хамовники";"АКВАКОМПЛЕКС ЛУЖНИКИ";"2362-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386975247";"";"";
"«ВОДНАЯ ТРУБА (AQUATUBE SLIDE) AH»";"cca788f6-379f-4c79-9f92-d798007d8699";"Центральный административный округ";"район Хамовники";"АКВАКОМПЛЕКС ЛУЖНИКИ";"2363-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386975248";"";"";
"«МАСТЕР БЛАСТЕР/ КОНСТРИКТОР/ СУПЕР БОУЛ АА»";"5566137f-5845-4d25-b339-8b2409fbe507";"Центральный административный округ";"район Хамовники";"АКВАКОМПЛЕКС ЛУЖНИКИ";"2364-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386975249";"";"";
"VENETIAN CAROUSEL MERRY GO ROUND";"d282d288-007b-48c7-9d6d-e0f6f50384d0";"Южный административный округ";"район Нагатинский Затон";"ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ";"2367-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386975250";"";"";
"ТУННЕЛЬ ФРИ ФОЛЛ (TUNNEL FREE FALL)";"c1f0e302-9046-4f87-b60f-51fed50d65d1";"Центральный административный округ";"Тверской район";"АКВАПАРК КАРИБИЯ";"2368-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386975251";"";"";
"МУЛЬТИ СЛАЙД (MULTI SLIDE)";"62e4f8a0-eec5-42a1-a450-98a39a9c8c54";"Центральный административный округ";"Тверской район";"АКВАПАРК КАРИБИЯ";"2369-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386975252";"";"";
